,T_max,T_exp,T_scale,"Objective 1 (e.g., -Inequality)","Objective 2 (e.g., Consumptions)"
0,0.09540441022832864,2.3217520428308767,0.9980768323710031,-4.521809522506598,5.682872892801836
1,0.0,1.8307792318267868,1.0,-23.19887783689543,13.143443848198077
2,0.1,3.0,0.9848403286325416,-2.8530577493931912,2.5328287819431425
3,0.1,2.796017307866677,0.9633482541265054,-2.5748558438834057,0.22925002161705013
4,0.09345193237530891,2.336178493203642,0.9980494061966321,-4.64702949030088,5.702958172172778
5,0.06661213924463745,2.438737787762823,1.0,-8.42609933705293,11.727286188462383
6,0.1,3.0,1.0,-5.762508525879902,9.733067179433684
7,0.1,2.913917834645993,1.0,-6.848934125176564,10.065128520077208
8,0.1,2.5388505273094473,1.0,-7.219844187885368,10.43045684233452
9,0.1,2.4816088873625053,0.9989302702502351,-4.683605389823897,7.038935326686649
10,0.1,2.93964454456714,0.9791960566490694,-2.6685107160409864,1.9871378033753595
11,0.1,3.0,0.9960362727789591,-3.9730240655397364,5.640183048492537
12,0.08235565418017925,2.750912669533662,0.9940394177242816,-3.6821063659533793,5.246210673656186
13,0.1,2.7882133822529127,0.9899459355095693,-3.0716811495104133,3.060685926912318
14,0.09831436404566825,2.7283853407117946,0.9893963384124308,-2.9117120581333285,2.6629437445193163
15,0.1,2.9157036826556855,0.9781310006816912,-2.617351380476526,1.8314686794277122
16,0.1,2.7024681718638726,0.9910391645353454,-3.3130106923550615,3.4268479091496875
17,0.1,3.0,0.9936376425012794,-3.529052674759871,4.359532630153075
18,0.09641576239328399,2.852869727593153,0.9610246027418168,-2.608075730370497,0.23185582869372026
19,0.0,1.9032747844371085,1.0,-18.68941284973322,12.723860000481395
20,0.05565550167313674,2.4671793781814424,0.9934580244718954,-4.676893098231357,5.99591821943231
21,0.1,2.6444887520322347,1.0,-5.707010866454412,7.789471475152591
22,0.09852105172069756,2.9676558309457963,0.9931633947658237,-3.5088417131537466,3.6724351232347585
23,0.1,2.6642406335215085,0.9387726704294326,-2.2915911994107585,0.21606904967115478
24,0.09562197854618754,3.0,0.9859917148910166,-2.9950871594829915,2.7559106761884813
25,0.09266916372597621,2.909468639082698,0.9980380130107231,-5.026871258726853,7.497636255811151
26,0.1,3.0,0.9611117165670056,-2.3551634507099695,0.22825925944744782
