alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.056973502,0.31915894,0.24046518,-0.9924640962218375,0.5493868450694775
0.0,0.051681325,0.31383097,0.24173076,-0.9961905424392126,0.5657943185817356
0.0,0.043800484,0.3114083,0.23919317,-0.9917824314361158,0.5626286445828494
0.0,0.047091685,0.30677348,0.24304026,-0.9906791020400288,0.5772250649524393
0.0,0.055274736,0.30722076,0.24469402,-0.988628670950119,0.5714613360661517
0.0,0.036595035,0.32708701,0.23261638,-0.9960399986388313,0.5511404447826361
0.0,0.05147804,0.32884207,0.236773,-0.9970350983446575,0.5600050933772718
0.0,0.04101617,0.32174414,0.23582616,-0.9953433660929305,0.5594248245694196
0.0,0.047849048,0.30658284,0.24439892,-0.9842118006581962,0.5631157236097234
0.0,0.05399838,0.30929595,0.24334027,-0.9858243698202815,0.5663947270611593
0.0,0.035555672,0.31506222,0.23815957,-0.9926300176327405,0.557556561144696
0.0,0.04819013,0.31809008,0.23736364,-0.9957412182988802,0.5621762747665828
0.0,0.045134097,0.31082955,0.2426736,-0.9937898347317707,0.5650678426158927
0.0,0.048283566,0.30948746,0.24029832,-0.9900159967412766,0.5676298135764233
0.0,0.040946174,0.30128354,0.23819666,-0.9891441376609527,0.5601692033196887
0.0,0.043919846,0.31244043,0.24054812,-0.9913386864711407,0.5627020287949146
0.0,0.04711791,0.32134372,0.2376235,-0.992817617160296,0.5634083020600316
0.0,0.045325615,0.3076286,0.24262017,-0.9825436056762521,0.5495048098458242
0.0,0.06482612,0.32881394,0.23940143,-0.997904132022402,0.5625681402021158
0.0,0.04318987,0.3036061,0.24302042,-0.9888856640483814,0.5614758282442894
0.0,0.042563625,0.30177492,0.24280807,-0.9899643386419887,0.5726792969042235
0.0,0.04319113,0.3088173,0.23917164,-0.9916138717444879,0.5618884430140431
0.0,0.046506815,0.30670443,0.24224369,-0.9880170309078289,0.5709357469420897
0.0,0.056389898,0.31324056,0.24003412,-0.9976524424693072,0.5608292159496139
0.0,0.045829266,0.3083933,0.24018183,-0.9965793165071498,0.5583169583162586
0.0,0.040589795,0.29981324,0.24440283,-0.9765847240423585,0.5723608038764285
0.0,0.040696464,0.30068457,0.24320239,-0.9789813148835929,0.5683626348893613
0.0,0.055447064,0.315167,0.23889124,-0.9902401209813948,0.5552694246035849
