alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.0068890494,0.5181733,0.19519968,-13.145015366142728,1.0296404515555782
0.0,0.007998929,1.693501,0.29209003,-19.535993843339167,1.182184633984374
0.0,0.0047798287,0.1769613,0.12800127,-18.742653630537667,1.5273786537625313
0.0,0.0038425112,0.26454785,0.08564945,-16.476123571384093,1.4993010828644575
0.0,0.009645854,2.136852,0.37246448,-23.828893395583624,0.7300852124958306
0.0,0.008548345,1.1698823,0.2723919,-24.629044745241902,1.0348737995701984
0.0,0.006064325,0.6950811,0.20548841,-25.67422112623533,0.9127964120662988
0.0,0.008711796,0.90010595,0.31682354,-25.088223616051913,0.8256811727219653
0.0,0.009140414,1.6005591,0.2967369,-20.03533414871316,0.7793016825510645
0.0,0.0069907675,2.1958253,0.30871108,-22.337072047809656,1.0277401687861414
0.1,0.06730554,2.8154707,0.92478347,-15.179810206589035,0.21891834608658378
0.1,0.055506244,2.8003237,0.90314263,-8.641601509688376,0.2167069496229831
0.1,0.06316299,2.775965,0.9204191,-10.416854067568288,0.21708985333535236
0.1,0.05803927,2.682764,0.9067341,-19.41080717947811,0.2196240502957323
0.1,0.0670866,2.8347797,0.92873275,-8.122338589603572,0.22014373704232315
0.1,0.06473073,2.8238928,0.9303267,-12.118252073929616,0.21931430993158307
0.1,0.06942641,2.8378458,0.9209039,-9.92277822282446,0.22093619750671972
0.1,0.052626323,2.7032595,0.9087214,-6.33279719147379,0.2185225378327472
0.1,0.056301683,2.6591506,0.8570682,-6.000315488768544,0.21637524700228067
0.1,0.07189557,2.894161,0.9432049,-13.268084683745247,0.2183886746262732
0.2,0.06916162,2.3434153,0.8974878,-3.9095851130833137,1.3665183025463292
0.2,0.073610045,2.1760654,0.9149163,-4.685498257036321,1.3763635085494283
0.2,0.07163672,0.2645221,0.8650312,-5.662864041005809,1.229241882652666
0.2,0.066904955,1.8445,0.8697423,-5.301473012797171,1.4016423372575975
0.2,0.06882875,1.8910145,0.89466363,-4.784895364706352,1.2094429403119913
0.2,0.0703004,2.382007,0.8901882,-3.638165998318582,1.4154946218062734
0.2,0.06942706,2.5150857,0.92519987,-4.853951313295238,1.0896942503188054
0.2,0.06613542,2.3665574,0.8910708,-3.648383440049272,1.3059279722229922
0.2,0.07176358,0.80418444,0.8886193,-6.980434900997645,1.2285239048034702
0.2,0.06880044,2.0416012,0.89661026,-4.088559934352828,1.3503664211207296
0.3,0.098157406,2.047508,0.96678674,-3.4822854878288907,0.2432001740212388
0.3,0.09775199,2.324255,0.9533642,-2.937770931370773,0.3575796948891704
0.3,0.097941704,2.1695445,0.9603569,-3.430757413746168,0.278455741643522
0.3,0.098082095,2.095405,0.9646388,-3.0856801885235994,0.27146273493274675
0.3,0.09775774,2.2582252,0.954577,-3.127765203246853,0.3389400273380169
0.3,0.09805116,2.1098354,0.9636628,-3.240574130988345,0.27636113325397005
0.3,0.09836392,1.913443,0.97252524,-3.746904550609396,0.23679530880012095
0.3,0.09835811,1.9174247,0.97241557,-3.1227783838467387,0.2318601406687972
0.3,0.09804123,2.1190653,0.9634296,-3.0303419891410988,0.3112466254085552
0.3,0.0978961,2.192946,0.9589527,-3.191965195145983,0.2752756383650702
0.4,0.07186969,2.6788907,0.98636264,-3.9501176306062598,2.228924764742914
0.4,0.061995868,2.7165966,0.98756194,-4.152958047114571,2.8332186305102147
0.4,0.06678044,2.6961462,0.9863965,-3.674289048760861,2.658605981839993
0.4,0.068669125,2.714148,0.9883744,-3.5970883901894926,2.7928823916415673
0.4,0.056807235,2.6832228,0.98746353,-4.0182449252991965,2.4478116567011043
0.4,0.07056557,2.7125578,0.9890785,-3.597207133375468,2.3485568129176357
0.4,0.06781821,2.6793983,0.9864402,-3.7210216278042907,2.126786337685376
0.4,0.06623199,2.6722226,0.9861978,-3.658798092768367,2.3435737906129606
0.4,0.07165952,2.6449685,0.9864392,-3.7506461424190642,2.2946355684565884
0.4,0.06912447,2.6623347,0.9881477,-4.045746065824703,2.418365573822078
0.5,0.08021116,2.853354,0.99452174,-4.167065984677759,2.689542729432463
0.5,0.08702049,2.057641,0.99613947,-3.71694088187032,2.8184501628225878
0.5,0.08661436,2.8542929,0.99383247,-3.660860268853054,2.1948151330613204
0.5,0.0435366,2.5672605,0.9955199,-5.443564065804432,2.9121002622808954
