alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.014887471,1.3465528,0.92612284,-0.929987854341793,0.5982401816699082
0.0,0.022790756,1.4561054,0.92846787,-0.9379338069008385,0.5941162387157943
0.0,0.024400491,1.94044,0.8935606,-0.9243889527981165,0.5914154591026195
0.0,0.027315453,0.53568435,0.9587587,-0.9800927598023095,0.5870867182034069
0.0,0.020898145,1.9846808,0.8685714,-0.9172809957785967,0.5936510861667311
0.0,0.016417582,0.99426544,0.94638544,-0.9544553099949477,0.6072058389772749
0.0,0.013425621,1.0417098,0.9506656,-0.9536069376159781,0.6067727785878367
0.0,0.037681296,2.015603,0.9119131,-0.923610195215102,0.5865449704727594
0.0,0.022047965,1.6134735,0.8761144,-0.9318401618415225,0.5931434110530632
0.0,0.012705003,1.2897666,0.9413962,-0.9345008758848481,0.6081889014928871
0.1,0.0040591676,1.4811603,0.5522791,-0.9747921162804387,0.5927662938262027
0.1,0.0027812019,1.080387,0.74258673,-0.9707014715682816,0.6104069580651982
0.1,0.0042259283,1.4807628,0.60195374,-0.9965465067040294,0.5944383007264163
0.1,0.004210692,1.688373,0.6226451,-0.9731085736851814,0.5977432785914969
0.1,0.0041992683,1.7963873,0.60535395,-0.9705765616276306,0.5899277605713279
0.1,0.004176278,1.6312852,0.57638055,-0.9880070388320803,0.5932223315637632
0.1,0.0045865895,1.5062311,0.6069387,-0.9494663484008425,0.6016831671445219
0.1,0.00430111,1.3628696,0.5388051,-0.9843231009442275,0.5883147368071744
0.1,0.0026897013,0.93987054,0.7025691,-0.9617466093827011,0.6098916268089719
0.1,0.0042743133,1.7048782,0.5889976,-0.9729648007980081,0.5902771754136039
0.2,0.09924675,2.9220574,0.9819752,-0.7926486782750485,0.5982709359212705
0.2,0.09853843,2.9395814,0.9732094,-0.7584658195597456,0.5951488142615532
0.2,0.09820055,2.937489,0.97315514,-0.7681642579241063,0.5909813724509583
0.2,0.09698513,2.941125,0.96715146,-0.7651604526976769,0.5804395498777104
0.2,0.099437736,2.7963538,0.96029174,-0.7537709737734972,0.6074685398981857
0.2,0.09938823,2.7628684,0.9497999,-0.7715031406286679,0.6013088525419061
0.2,0.09925767,2.9045162,0.97157454,-0.7575284505199584,0.6017835253912673
0.2,0.09783234,2.9427874,0.97144514,-0.7514336170134724,0.5878765942850577
0.2,0.098492384,2.9276996,0.9637808,-0.753050593535319,0.5969264417358126
0.2,0.096673004,2.9241972,0.9678414,-0.7717437243324791,0.5764450854389954
0.3,0.09717198,2.820862,0.9395488,-0.47799411053775637,0.513018477746599
0.3,0.09721486,2.8365035,0.92594993,-0.46266692974074075,0.5203649253140398
0.3,0.09714355,2.8167722,0.9403939,-0.5136023554510003,0.5145817778057752
0.3,0.09723177,2.8211608,0.94170165,-0.47848676603810447,0.509029012668465
0.3,0.097132854,2.8198583,0.9428435,-0.5183720014919009,0.5111486131588464
0.3,0.097263806,2.8065488,0.9455545,-0.5356824541305104,0.5099265343465068
0.3,0.09727535,2.8251057,0.928599,-0.47316473109592516,0.5155197619027294
0.3,0.09725216,2.8226256,0.93684846,-0.4686852844103072,0.515808827066125
0.3,0.097197935,2.8175569,0.943464,-0.49884515501509263,0.5076442655906499
0.3,0.0972564,2.8293173,0.94180036,-0.4382762998708794,0.5125178826834932
0.4,0.098135985,2.7660139,0.85606146,-0.42322299756588244,0.4995876212802134
0.4,0.098079264,2.7550805,0.855054,-0.42756202315885194,0.5067730275442386
0.4,0.09883544,2.6742263,0.8522003,-0.3493924062314142,0.4985954130827871
0.4,0.09872998,2.7182148,0.8512802,-0.3575300427972412,0.4961775658837283
0.4,0.098262355,2.7385795,0.84685326,-0.4129226912926407,0.49896523586283065
0.4,0.09785106,2.796597,0.87391996,-0.5059198456028873,0.4975484254146042
0.4,0.098278046,2.749055,0.8484544,-0.44011888968464696,0.505407788535698
0.4,0.09782369,2.7444313,0.8608388,-0.46215120170685603,0.4926954994514909
0.4,0.09786821,2.782377,0.8670069,-0.5110487581769576,0.5069424245684429
0.4,0.09789845,2.796701,0.87188417,-0.47828624119856494,0.5032420094953626
0.5,0.09696248,2.7151406,0.8740804,-0.4075079766247965,0.48709290282777784
0.5,0.096376754,2.6947622,0.87006617,-0.40383727702597605,0.497473909857387
0.5,0.09774872,2.743161,0.87834597,-0.4317340497994473,0.49359275106530737
0.5,0.09856966,2.853827,0.89984053,-0.5352678548184077,0.5020153075865413
0.5,0.0959507,2.675439,0.84955734,-0.37510240513979587,0.4977907803571508
0.5,0.097764224,2.7557483,0.8805412,-0.4505051627333358,0.5023309714143606
0.5,0.09743283,2.7387981,0.87724334,-0.4280803508893651,0.5004258644964082
0.5,0.09835485,2.7957022,0.87886184,-0.5112186020597504,0.505869791904576
0.5,0.09692042,2.7021964,0.86700606,-0.40410752782726284,0.4876709245833509
0.5,0.09656718,2.6851165,0.85996145,-0.3671952070991719,0.4856536347534774
0.6,0.09844344,2.5303955,0.85837746,-0.41742171093059577,0.49227652316301795
0.6,0.09840685,2.5873141,0.87311935,-0.4297542678807565,0.49619523973349966
0.6,0.09829726,2.4942698,0.88078463,-0.3976150570072259,0.49353747872876297
0.6,0.09839933,2.59965,0.8409789,-0.47296213614112625,0.5001865554349186
0.6,0.09849347,2.5368676,0.8576965,-0.4241721812135998,0.5060622198469105
0.6,0.09837446,2.5116591,0.86429054,-0.4142073616393505,0.5038338847411469
0.6,0.098320045,2.562075,0.8692949,-0.4272427931784007,0.5002194839833133
0.6,0.09840172,2.5502553,0.87533456,-0.42498206223877055,0.5001064125829235
0.6,0.09841712,2.4670885,0.8760398,-0.40854407249312774,0.504844393422498
