alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.00851779,0.80306196,0.23244345,13.751063160241458,1.1149301388760735
0.0,0.00816533,1.0246882,0.24999893,17.092017929149307,1.239683314226915
0.0,0.0059648957,1.783523,0.19521905,20.295053263944457,1.3131396491002745
0.0,0.009082957,0.6622884,0.29857668,15.922982239278145,0.9145055546187522
0.0,0.010525644,2.5435119,0.44670218,14.280552625580508,0.5441353579414675
0.0,0.010007297,0.47160912,0.3038867,16.68193874652769,0.8360897366422668
0.0,0.010284597,0.81096053,0.28479886,12.329363414292551,1.0058207368910008
0.0,0.006902714,1.9301907,0.2842386,25.912482145839494,1.5993007526206173
0.0,0.004307364,0.36834925,0.10832272,29.877134265310037,1.2583622360858318
0.0,0.0090367,1.0257436,0.2863978,16.034422656119308,0.658671915602094
0.0,0.0116711585,0.8639301,0.41545713,13.547326184477134,0.7153771753613388
0.0,0.009553207,1.839312,0.30919093,27.616785570549236,0.7479499661935542
0.0,0.007000668,0.40142795,0.2061466,20.079649345393772,1.2339161686754496
0.0,0.010089555,1.9920863,0.27608788,22.69799862946882,0.7361274297096597
0.0,0.009559392,0.6036916,0.30368507,24.120000400842237,0.8368460782935849
0.0,0.00805328,0.16702753,0.22351849,22.785842800974724,0.9679532075887682
0.0,0.0056518377,0.4980876,0.18791361,27.38393320561095,1.3487170288871615
0.0,0.007892827,2.2349894,0.3730153,17.69709234767643,0.8567572688099722
0.0,0.007010105,2.055146,0.28517944,22.142391277597145,0.963646819290986
0.0,0.010088205,2.3927886,0.4711778,16.879469277774135,0.6084278108113369
0.0,0.009269712,1.3564377,0.30322608,21.088747718178833,0.9620384076686489
0.0,0.0071990746,0.724202,0.23456493,30.27401310770076,1.0193700001225954
0.0,0.0072347946,1.9953135,0.27922353,17.4526165573234,0.9184772380332045
0.0,0.006180009,0.32337406,0.13848251,20.143451174280138,1.2395678583828516
0.0,0.008477468,1.1234465,0.28320825,25.623849265450076,0.9077058273911388
0.0,0.008151038,0.88431954,0.26272035,31.439626857257032,1.1603561122977435
0.0,0.006832134,0.64048225,0.17283799,20.28767240569641,1.3130913772629207
0.0,0.008231747,1.7710477,0.3279807,15.858268490934103,1.0993329622196775
0.0,0.010312205,1.5315125,0.34826127,23.957522462138442,0.7926539390258875
0.0,0.009849349,1.392407,0.31277883,17.144955468440422,0.9531570258831975
0.0,0.008115478,0.9096804,0.29489234,28.764817249500034,1.0272851821649778
0.0,0.010487349,0.9393098,0.30805114,14.846315899073481,1.0200360288513541
