alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.0,0.11827616,0.62275165,-0.9894786703907021,9.723380771122141
0.0,0.0,0.061164163,0.6051653,-0.9921157593917469,10.289502582271
0.0,0.0,0.12071823,0.61932486,-0.9923575246346944,7.91828103782346
0.0,0.0,0.11848988,0.6188974,-0.9937066924575823,10.394437907472252
0.0,0.0,0.13419159,0.61731607,-0.9746958078950001,9.227492268879923
0.0,0.0,0.11407917,0.62041396,-0.9927672264538088,12.76319535349504
0.0,0.0,0.10492777,0.61860365,-0.9875809601731587,9.460749065429116
0.0,0.0,0.09564864,0.6220306,-0.997617703291209,11.289341829366654
0.0,0.0,0.07430284,0.6379516,-0.9909213542118012,7.806570173777493
0.0,0.0,0.10208941,0.62211,-0.9923837104128169,8.253349143147883
0.1,0.0,0.0,0.3031122,-0.9959750242552596,11.318457992466728
0.1,0.0,0.0,0.30543554,-0.986099542937074,11.09409737992957
0.1,0.0,0.0,0.29364446,-0.9962219280908774,7.314467794596536
0.1,0.0,0.0,0.2984892,-0.989492050619774,8.443374554697463
0.1,0.0,0.0,0.25968242,-0.9896001132627233,11.533187137393632
0.1,0.0,0.0,0.29104397,-0.9934717997834416,11.185260993054655
0.1,0.0,0.0,0.3024191,-0.9924644603231735,7.69712782174632
0.1,0.0,0.0,0.30965492,-0.9846613117487706,10.25052947201141
0.1,0.0,0.0,0.31220523,-0.9947685212098591,9.135368451566727
0.1,0.0,0.0,0.24194546,-0.9964927703069583,7.878056747000474
0.2,0.0,0.0,0.010412111,-0.9853733688390443,8.700909304067569
0.2,0.0,0.0,0.010738649,-0.9876330877236937,8.544429688218058
0.2,0.0,0.0,0.011672016,-0.994518500522449,10.289345475094683
0.2,0.0,0.0,0.047965456,-0.9968253511038629,11.378101947577905
0.2,0.0,0.0,0.009999993,-0.9853858196120239,9.870750618292032
0.2,0.0,0.0,0.009999993,-0.9853175833260336,8.449752022155838
0.2,0.0,0.0,0.009999993,-0.9873214303802835,8.304089728444417
0.2,0.0,0.0,0.009999993,-0.9961759499141825,8.844734788997213
0.2,0.0,0.0,0.009999993,-0.9909076457418468,8.178114517983754
0.2,0.0,0.0,0.010129678,-0.9926289304290222,8.711706056200928
0.3,0.0,0.0,0.009999993,-0.9945607584484393,7.930230745936251
0.3,0.0,0.0,0.009999993,-0.9861341579695895,9.239063146572141
0.3,0.0,0.0,0.009999993,-0.9975355629629327,11.772303537459763
0.3,0.0,0.0,0.009999993,-0.993362477911074,9.666354421309546
0.3,0.0,0.0,0.009999993,-0.9946000670851176,8.652070283691714
0.3,0.0,0.0,0.009999993,-0.989006164715457,7.750169174136703
0.3,0.0,0.0,0.009999993,-0.9885027460047406,11.161553338019619
0.3,0.0,0.0,0.009999993,-0.9871113778677417,7.556037403058208
0.3,0.0,0.0,0.009999993,-0.9819192004750527,8.834060496427991
0.3,0.0,0.0,0.009999993,-0.9889734844323766,9.623768681217935
0.4,0.0,0.07822172,0.6050763,-0.9890714514350925,8.536166373336602
0.4,0.0,0.0,0.5615655,-0.9869943809618035,11.241337473935085
0.4,0.0,0.0,0.5868895,-0.9931100944498641,10.120156602625364
0.4,0.0,0.12502222,0.5991679,-0.9901173923293815,9.10293422914479
0.4,0.0,0.071113355,0.58886623,-0.970785373422226,7.885346349638605
0.4,0.0,0.061195515,0.59037185,-0.9841424263947718,8.978639871699247
0.4,0.0,0.090880945,0.59517515,-0.9791465717645623,7.878745247185891
0.4,0.0,0.095455304,0.60200095,-0.987983628574392,8.385503118645701
0.4,0.0,0.008046372,0.58812255,-0.9834039916652522,7.980503135674629
0.4,0.0,0.020575413,0.5988636,-0.9894769406533352,8.218455690271982
0.5,0.0,0.0,0.5378722,-0.9870458542326465,8.403090214975563
0.5,0.0,0.0,0.5426222,-0.9974473532805976,8.129015388157411
0.5,0.0,0.0,0.5359668,-0.9882666585781991,9.676821236086258
0.5,0.0,0.0,0.5424773,-0.9934169845556055,9.34526919942196
0.5,0.0,0.0,0.541563,-0.9935281870329469,8.688503602039521
0.5,0.0,0.0,0.53856516,-0.997510971626041,9.286704098611118
0.5,0.0,0.0,0.55098766,-0.9953500204818683,10.126314808789992
0.5,0.0,0.0,0.5359514,-0.981765469554977,7.574246822617106
0.5,0.0,0.0,0.539044,-0.9938096088527097,8.297550763537224
0.5,0.0,0.0,0.54059243,-0.9858199100097553,8.901045188533088
0.6,0.0,0.06779898,1.0,-0.9908867016042572,1.8197934028988256
0.6,0.0,0.10495165,1.0,-0.9956553017124921,5.297301073192148
0.6,0.0,0.08744794,1.0,-0.991910769183435,4.510334780348977
0.6,0.0,0.086199455,1.0,-0.9825742144829489,1.2964728473702554
0.6,0.0,0.07462036,1.0,-0.9879308996974399,2.381501022425204
0.6,0.0,0.08309525,1.0,-0.9903742608150966,3.73833502030258
0.6,0.0,0.06350492,1.0,-0.9935815753088848,1.679956560375978
0.6,0.0,0.077308595,1.0,-0.9934048648862279,4.384214832703573
0.6,0.0,0.082450174,1.0,-0.9934010133783948,3.4110372401687585
0.6,0.0,0.058296096,1.0,-0.9967105288272101,0.7995168658548719
0.7,0.10000002,2.0376182,0.009999993,-0.4324904699570989,0.19473411625635767
0.7,0.10000002,2.037634,0.009999993,-0.519276419132944,0.19501396909404767
0.7,0.10000002,2.037616,0.009999993,-0.405262384825138,0.19480776080166728
0.7,0.10000002,2.037631,0.009999993,-0.48536384999979787,0.19445656419689375
0.7,0.10000002,2.0376322,0.009999993,-0.5038654637747546,0.19473809444111193
0.7,0.10000002,2.0376263,0.009999993,-0.45014417296097387,0.19465018402843803
0.7,0.10000002,2.0376291,0.009999993,-0.4946167995590804,0.1941075155290818
0.7,0.10000002,2.0376287,0.009999993,-0.4750469893237668,0.19461255720175472
0.7,0.10000002,2.0376318,0.009999993,-0.4827935671405449,0.194651233448291
0.7,0.10000002,2.0376294,0.009999993,-0.46633659530393023,0.19399512644030026
0.8,0.0,0.0,0.05494754,-0.9818174170167167,9.379087542394847
0.8,0.0,0.0,0.009999993,-0.9766521872139468,9.886648404662582
0.8,0.0,0.0,0.009999993,-0.982732110873695,8.766112765143186
0.8,0.0,0.0,0.009999993,-0.9938646876818809,9.203224666872313
0.8,0.0,0.0,0.009999993,-0.9941718665653402,9.859397983338186
0.8,0.0,0.0,0.009999993,-0.9960970521060385,7.683904442387023
0.8,0.0,0.0,0.015347749,-0.9972222525895076,12.40408004465208
0.8,0.0,0.0,0.009999993,-0.9848062385502925,9.030044580546456
0.8,0.0,0.0,0.009999993,-0.9832184274042625,10.101933218658939
0.8,0.0,0.0,0.009999993,-0.9905068251199208,8.189500303027877
0.9,0.10000002,1.2513427,0.009999993,-0.42694546661486127,0.19543113232129394
0.9,0.10000002,1.2513447,0.009999993,-0.4808681436860349,0.19494961841986275
0.9,0.10000002,1.2513437,0.009999993,-0.4514379934857866,0.19503579705319307
0.9,0.10000002,1.2513394,0.009999993,-0.4632840558522353,0.19500548747886629
0.9,0.10000002,1.2513334,0.009999993,-0.499250210289869,0.19531671262436437
0.9,0.10000002,1.2513374,0.009999993,-0.4753855548775656,0.19494187495027085
0.9,0.10000002,1.2513409,0.009999993,-0.40849948857926016,0.19559970380977926
0.9,0.10000002,1.2513412,0.009999993,-0.44600278418213973,0.19502661713954694
0.9,0.10000002,1.2513424,0.009999993,-0.44412867710089077,0.19534985633292265
0.9,0.10000002,1.2513404,0.009999993,-0.4250783932021077,0.1948228841162355
1.0,0.10000002,2.145174,0.009999993,-0.4654830088267841,0.19458576571086972
1.0,0.10000002,2.1451995,0.009999993,-0.49034143257998614,0.19399138778554714
